Close
24.139999999999997;
25.22;
27.499999600000002;
31.68;
34.800001;
40.140000199999996;
43.9400012;
48.2600008;
51.1;
53.859999800000004;
58.7;
58.9799994;
62.279999399999994;
64.1599988;
64.1;
74.81999979999999;
86.6800002;
96.4600022;
111.6;
121.75999900000002;
135.1399994;
143.2;
150.66000060000002;
178.4399994;
170.7599976;
168.9200012;
197.8200012;
224.65999760000005;
247.66000059999996;
272.7200012;
279.5200072;
290.7600036;
305.9599976;
348.4;
390.1800048;
490.7600036;
591.7199952;
691.5800048;
775.6400024000001;
892.7200071999999;
1000.6999997999999;
1039.3000121999999;
1115.9400146;
1295.2799802000002;
1351.6600341999997;
1432.3000001999997;
1441.8;
1580.9599852000003;
1378.8400147999996;
1624.3599852000002;
1581.2200194000002;
1547.9200196000002;
1808.4199950000002;
2243.5000489999998;
2605.3599608;
2928.3999510000003;
3119.3;
3189.5800784;
3632.0799804000003;
3928.2199706000006;
3971.4599608;
4022.9600097999996;
4213.919921999999;
4471.1799804;
4583.840039199999;
5164.719921999999;
5295.8800782;
5185.3200194;
5424.3;
5271.2599608;
5321.6201172;
5281.6;
4922.6400392;
4747.8200194;
4637.1000976000005;
4696.4599608;
4912.0800782;
4710.8200196;
4487.1799804;
4607.6199218;
4749.120117;
4891.8600584;
4291.9600584;
4183.2199218000005;
3652.2;
4057.8199219999997;
3839.4799804000004;
3827.5399902;
3673.9;
3145.5999509999997;
2973.5600098000004;
2946.1799804;
2575.1199705999998;
2987.6800293999995;
3227.7600098;
3064.2600098000003;
3153.9600588;
3208.5600098000004;
3740.5399902;
3960.7599608000005;
3991.8399902000006;
3958.2600097999994;
3993.7200196;
3846.0600588;
3787.1;
3689.0399902;
3602.8600588;
3634.1399902;
3866.1199705999998;
3999.2200196;
3889.6799314000004;
3885.6799804;
4169.8199218;
4209.4799316;
4258.5;
4451.640039;
4415.9800782;
4632.2600586;
4820.3;
4607.7000002;
4541.0600586;
4476.040136600001;
4574.1800782;
4432.9999512;
4119.339941599999;
